,Media,Varianza,Momento 3,Momento 4,Entropía,Clase
0,5.1383,727.17126,100185.72,14472717.0,0.29124656,0.0
1,0.89228886,19.091198,476.20627,14768.308,0.34503928,0.0
2,1.8796556,111.46228,11674.384,1622684.6,0.4735259,0.0
3,1.5654556,112.33396,15884.803,2829176.5,0.38552684,0.0
4,5.687278,928.02246,146602.45,24094044.0,0.26573268,0.0
5,4.150189,644.0943,97744.36,15316795.0,0.21740608,0.0
6,5.2904,858.08386,135117.8,22093318.0,0.25584114,0.0
7,0.9347,18.29348,413.63834,12871.641,0.35417953,0.0
8,1.0213555,32.21021,1848.5554,195076.84,0.35162476,0.0
9,13.559366,2488.887,423690.56,78437290.0,0.47774735,1.0
10,8.100011,1287.8798,194608.17,31110288.0,0.34759608,0.0
11,6.1816335,923.8874,138294.39,22103210.0,0.36208007,0.0
12,1.8683,127.236,17714.0,3164697.2,0.5139199,0.0
13,6.4119,1017.4468,155551.1,24920404.0,0.30561835,0.0
14,7.826267,1225.5778,182634.95,28768060.0,0.34548035,0.0
15,1.409311,35.52342,1034.0011,39366.996,0.43430144,0.0
16,1.352889,51.70176,4493.2305,652607.6,0.42536527,0.0
17,3.6925445,422.18182,57099.402,8294252.5,0.4829582,0.0
18,5.7219667,818.3845,113035.12,16375690.0,0.28850296,0.0
19,8.447833,1242.9199,172948.92,25699792.0,0.38293558,0.0
20,3.8182557,584.1608,87595.05,13548176.0,0.19432335,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,7.270711,1026.3428,139536.02,20324482.0,0.40320903,0.0
31,0.9882445,22.581728,583.8636,18552.35,0.3511116,0.0
32,1.7493666,98.03157,10428.493,1492969.2,0.48197553,0.0
33,1.515,103.15113,13896.734,2405292.8,0.37421182,0.0
34,0.87612224,16.454977,325.15677,7726.9756,0.32583565,0.0
35,5.907422,922.87537,139283.53,21965280.0,0.29047075,0.0
36,6.4567223,1030.405,158053.12,25349794.0,0.29199564,0.0
37,1.1223667,34.311214,1892.8182,178004.42,0.37928262,0.0
38,11.359811,2091.2407,361807.34,67083492.0,0.4181236,1.0
39,6.751089,1011.3473,147115.02,22662162.0,0.3527706,0.0
40,8.067,1249.6045,183728.22,28614218.0,0.35087204,0.0
41,1.8206,135.40048,18861.72,3274976.2,0.4631573,0.0
42,1.2986223,32.835003,1242.8446,80589.12,0.43603298,0.0
43,6.7512,1015.07697,146402.17,22241928.0,0.3320517,0.0
44,8.249766,1252.288,180121.9,27534036.0,0.3729926,0.0
45,1.1085222,29.472456,898.8739,34887.43,0.3381167,0.0
46,1.5459445,63.956245,4172.1,351631.5,0.45270172,0.0
47,7.831089,1121.0367,152156.98,21978130.0,0.3657156,0.0
48,5.729589,825.74927,114901.805,16757311.0,0.28736928,0.0
49,2.9176,414.29855,58342.16,8492267.0,0.16741686,0.0
50,3.9471223,597.9048,88771.29,13626129.0,0.2028975,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,7.7658224,1144.148,162446.9,24779540.0,0.41851825,0.0
61,1.0119333,23.656792,657.1693,23986.318,0.35725376,0.0
62,1.9026,108.48765,11817.362,1754372.6,0.4942265,0.0
63,1.6052889,116.39147,16322.84,2914727.5,0.37007406,0.0
64,0.8995889,16.738396,319.0005,6919.035,0.33593822,0.0
65,6.8508887,1095.6483,168140.94,27076470.0,0.30924928,0.0
66,5.7940555,988.4285,163174.48,27964308.0,0.2548035,0.0
67,1.1412555,36.540348,2302.0686,267803.2,0.37552097,0.0
68,7.9402447,1184.146,173320.11,27309094.0,0.4206574,0.0
69,9.1203,1478.6039,226488.7,36923772.0,0.37200445,0.0
70,6.874811,1378.4452,267431.2,53888530.0,0.26202554,1.0
71,1.7399,128.62276,18610.781,3418964.0,0.42700797,0.0
72,7.9458776,1258.472,189814.84,30292042.0,0.3503769,0.0
73,8.430689,1350.9966,205409.14,33107836.0,0.35869882,0.0
74,1.6571112,45.434425,1353.6863,49112.15,0.46439496,0.0
75,1.358311,50.11259,4271.549,621818.4,0.42913803,0.0
76,3.1306667,307.2985,38804.336,5357314.5,0.472306,0.0
77,6.405267,945.0515,134047.22,20005096.0,0.30914396,0.0
78,9.172067,1367.8142,192120.84,28967004.0,0.41125384,0.0
79,4.942222,785.6161,121740.52,19604358.0,0.24093385,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0
90,7.661378,1108.5396,155857.52,23616480.0,0.431814,0.0
91,0.9711222,21.24891,535.3541,17058.879,0.34772316,0.0
92,1.7399111,95.23384,11192.869,1805094.2,0.47452867,0.0
93,1.5621333,114.97907,16112.5625,2851316.0,0.35778552,0.0
94,7.671411,1198.1515,178599.0,28161298.0,0.34618384,0.0
95,0.9248889,16.751736,304.68976,6236.4077,0.33528438,0.0
96,5.5013776,936.85785,154716.56,26485048.0,0.24638747,0.0
97,1.4152,56.77343,4127.5674,447111.53,0.41768423,0.0
98,7.1166444,1116.215,167537.5,26451210.0,0.30533817,0.0
99,8.735233,1403.861,213651.77,34537480.0,0.35449064,0.0
100,4.9315,1006.0228,200621.73,41090836.0,0.19080311,1.0
101,1.6376444,131.73898,19993.113,3703132.0,0.39818394,0.0
102,8.430578,1263.2325,183311.62,28594972.0,0.41112,0.0
103,1.4061556,48.759815,3710.7773,489446.72,0.42915338,0.0
104,7.8834558,1253.7614,189903.16,30403598.0,0.3453442,0.0
105,1.3962222,34.932564,1048.1235,44334.94,0.4238171,0.0
106,1.2043556,38.397972,2101.94,190508.47,0.37083143,0.0
107,9.5475,1427.6709,200311.45,30214360.0,0.40198094,0.0
108,6.911511,1024.6813,145304.66,21723788.0,0.31478128,0.0
109,6.9804554,1045.82,150916.5,23091586.0,0.34028706,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0
120,7.2588553,1056.8091,150218.58,22949506.0,0.4116765,0.0
121,0.9634889,20.382912,497.67007,15347.605,0.357524,0.0
122,1.6634222,89.20307,10134.667,1568987.4,0.46037954,0.0
123,1.4524889,110.74143,15415.685,2693871.8,0.32399663,0.0
124,6.5012,1018.0235,153530.78,24304938.0,0.31294858,0.0
125,0.9623111,17.836802,332.21243,7026.068,0.33730388,0.0
126,5.683811,967.2916,159436.92,27270756.0,0.25253063,0.0
127,1.4323666,51.803047,3322.891,335405.38,0.4250985,0.0
128,6.853422,1369.8373,265006.2,53262136.0,0.26200354,1.0
129,6.576778,1041.3097,158574.39,25313702.0,0.29819462,0.0
130,9.163022,1473.0865,223648.52,36181330.0,0.3730509,0.0
131,1.6221777,119.05467,17357.26,3190984.5,0.40502545,0.0
132,7.808789,1215.764,180220.8,28259808.0,0.3397569,0.0
133,2.239911,124.659355,11866.933,1573050.2,0.51069146,0.0
134,8.104956,1277.4857,191378.53,30365662.0,0.35643053,0.0
135,1.4771667,37.737812,1139.2931,48353.965,0.43252188,0.0
136,3.7834778,417.7535,56903.797,8397762.0,0.5347286,0.0
137,9.353145,1410.9867,200179.73,30471822.0,0.3920061,0.0
138,6.872789,1032.0941,148384.6,22469922.0,0.30612022,0.0
139,4.427067,693.59216,106092.81,16789636.0,0.21623154,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0
150,7.1826777,1052.7836,150756.97,23181872.0,0.4080698,0.0
151,0.95224446,18.114496,422.45877,13529.405,0.39604002,0.0
152,1.5612888,85.4414,10086.176,1595582.1,0.4605064,0.0
153,1.7806222,112.05854,15660.509,2799984.2,0.49385655,0.0
154,6.329811,992.01886,150624.81,24030984.0,0.3141629,0.0
155,6.3598,1079.0027,176445.94,30059482.0,0.26782557,0.0
156,1.2367444,34.582584,2021.0344,223983.36,0.43401384,0.0
157,8.3665,1662.7712,317242.78,63430580.0,0.31295547,1.0
158,6.334767,1011.15625,156161.0,25271882.0,0.30051363,0.0
159,8.727667,1402.448,213420.53,34495636.0,0.36177075,0.0
160,1.6432,116.66445,17434.625,3280122.2,0.45146754,0.0
161,7.4579444,1171.564,176097.58,27969324.0,0.34827688,0.0
162,2.1620111,122.08763,12020.2705,1638761.6,0.53736895,0.0
163,1.3382444,31.561258,936.08673,40661.33,0.450142,0.0
164,7.852211,1245.9208,188172.61,30016090.0,0.3370868,0.0
165,3.117911,321.38205,41232.945,5691632.0,0.48352057,0.0
166,9.139444,1358.4706,189875.86,28442494.0,0.3843697,0.0
167,6.2587442,927.9541,132209.97,19759468.0,0.2865119,0.0
168,5.043322,796.1771,122234.68,19490568.0,0.24299677,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0
180,7.479811,1066.0817,148037.0,22177838.0,0.4319496,0.0
181,0.9170111,19.638657,519.15424,18534.566,0.35371336,0.0
182,1.6436334,84.08233,9351.962,1439725.8,0.46839085,0.0
183,1.4803222,112.431366,16373.09,2960473.8,0.35524607,0.0
184,0.8854778,15.006007,260.3401,5280.5845,0.33892894,0.0
185,5.9264665,995.57336,161518.56,27225036.0,0.25231192,0.0
186,5.1888,828.53375,128441.234,20674974.0,0.247609,0.0
187,1.1351889,33.10698,2034.8561,232115.11,0.39910033,0.0
188,12.472,2355.8743,416131.8,79154780.0,0.4344436,1.0
189,5.6260777,873.2906,133021.06,21252842.0,0.29171392,0.0
190,8.2921,1310.992,196599.36,31234698.0,0.3461081,0.0
191,1.8068556,145.70364,21674.49,3937844.2,0.4298305,0.0
192,6.359433,1013.6375,155909.36,25139628.0,0.30179292,0.0
193,1.2182889,32.147327,1506.2396,121370.93,0.41731104,0.0
194,1.2954777,31.830393,954.229,39559.273,0.42390049,0.0
195,8.566155,1335.4622,196978.45,30874398.0,0.3582265,0.0
196,3.4608445,338.34625,40987.484,5454151.5,0.51212734,0.0
197,6.2084,897.959,124788.86,18212730.0,0.2933909,0.0
198,8.451156,1234.6636,170203.7,25027648.0,0.35970464,0.0
199,5.011711,780.3775,118169.37,18592524.0,0.24336196,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0
210,7.312,1073.4386,152207.83,23109710.0,0.39409894,0.0
211,0.7976111,16.448872,448.61523,17482.832,0.33808133,0.0
212,1.8116223,102.77442,11143.097,1616116.8,0.50944424,0.0
213,1.443811,106.73289,15318.672,2737914.8,0.36464658,0.0
214,0.78892225,12.272502,199.76448,3883.0818,0.33673882,0.0
215,4.9264665,801.1603,126879.5,20832176.0,0.23448727,0.0
216,6.2423553,1049.4017,170081.9,28705162.0,0.26809424,0.0
217,1.0466666,30.165445,1930.6398,230834.12,0.38643712,0.0
218,13.558156,2582.3958,457244.5,87708570.0,0.4487456,1.0
219,6.3959665,975.0409,147748.67,23819026.0,0.35338956,0.0
220,8.877977,1425.8704,216542.31,34951770.0,0.35570082,0.0
221,1.6486223,139.76389,21509.078,3977152.2,0.41482228,0.0
222,1.1265556,28.836784,1382.5951,114073.09,0.412542,0.0
223,8.985145,1419.7869,211784.67,33639880.0,0.36669084,0.0
224,6.409822,1032.7678,160475.47,26118062.0,0.2931742,0.0
225,1.3080667,31.841784,958.6578,40869.81,0.4269312,0.0
226,3.6970778,427.66922,59627.316,8928994.0,0.5005943,0.0
227,8.579378,1268.1248,176886.28,26331420.0,0.3659919,0.0
228,5.7233667,843.4935,120094.9,17894110.0,0.2730931,0.0
229,4.0125113,628.10736,96245.52,15213718.0,0.19887802,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0,0.0
240,9.283944,1314.7256,178278.98,26408684.0,0.5108238,0.0
241,0.75983334,14.755109,352.88153,10836.694,0.33113924,0.0
242,1.4755111,75.90336,8543.676,1295795.5,0.4604537,0.0
243,1.4454222,107.77033,15758.442,2840405.2,0.37072623,0.0
244,4.7166224,777.00574,124439.01,20549768.0,0.20706342,0.0
245,4.6137223,761.3883,122598.18,20401358.0,0.22273651,0.0
246,0.7511,11.550549,184.94472,3487.2542,0.32474217,0.0
247,1.0297889,29.17359,1733.5538,190168.17,0.38468438,0.0
248,14.348955,2666.7734,457833.34,85806340.0,0.48360908,1.0
249,5.908233,920.77484,140400.48,22491622.0,0.30297226,0.0
250,8.2267885,1300.6571,195109.88,30989006.0,0.3395501,0.0
251,1.5050111,120.673,18328.906,3383481.0,0.401549,0.0
252,1.2667222,48.232513,4492.1216,669827.7,0.42329592,0.0
253,8.597667,1339.233,197303.89,30896280.0,0.36069387,0.0
254,1.3158667,31.042206,902.14056,36749.48,0.43864006,0.0
255,6.191289,984.6859,151199.73,24302056.0,0.29224318,0.0
256,4.1981335,458.79202,60261.82,8638293.0,0.55309546,0.0
257,5.4904,786.39087,108841.34,15749475.0,0.27060091,0.0
258,8.416966,1226.694,168735.52,24757644.0,0.36176863,0.0
259,4.0502334,617.5848,92104.164,14185995.0,0.20398976,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0
270,5.141089,727.5133,100225.84,14478079.0,0.29144397,0.0
271,0.89228886,19.091198,476.20627,14768.308,0.34503928,0.0
272,1.8784444,111.36282,11665.579,1621881.4,0.4733698,0.0
273,1.5653111,112.32809,15883.355,2828768.2,0.38542673,0.0
274,5.6835446,927.43353,146515.75,24080140.0,0.2655558,0.0
275,4.150189,644.0943,97744.36,15316795.0,0.21740608,0.0
276,5.2924223,858.4305,135173.89,22103058.0,0.25592613,0.0
277,0.93484443,18.29511,413.65073,12871.656,0.35424647,0.0
278,1.0214889,32.211628,1848.5598,195076.06,0.35169414,0.0
279,13.565744,2489.9343,423830.34,78459800.0,0.4779412,1.0
280,8.100022,1287.8833,194609.0,31110466.0,0.34759653,0.0
281,6.176289,923.093,138168.53,22080476.0,0.36168465,0.0
282,1.8682889,127.235115,17713.92,3164691.8,0.5139181,0.0
283,6.4132,1017.5557,155550.55,24917830.0,0.30569392,0.0
284,7.824489,1225.3215,182602.48,28763448.0,0.34539628,0.0
285,1.4107778,35.580727,1036.4755,39486.426,0.43463463,0.0
286,1.3525444,51.69939,4493.5947,652666.4,0.4252414,0.0
287,3.6925333,422.1793,57098.984,8294189.5,0.4829482,0.0
288,5.7219443,818.378,113033.73,16375413.0,0.28846863,0.0
289,8.4478445,1242.9236,172949.8,25699986.0,0.3829416,0.0
290,3.8166556,583.9426,87567.24,13544446.0,0.19426744,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,0.0,0.0
